Condominio	Unidad
Heavens Lagoon	9
Heavens Lagoon	8
Anayansi	1 (incluye servicios)
Villa sam	
Adora	406
Cacao	203A
Cacao	204B
Zama Tower Premium	D005
Zama Tower  	D112
Mama Blue	Gypsea Loft
Mama Blue	boho
Amira central	202
La Privada	49
Terra Ego	301
Casa Nance	-
Aldea Tulum	17
Condos Ocho	A3
Reverence	206
Edificio Jabali	21
Edificio Jabali	26
Tuk Tulum	Fuego 103
Tuk Tulum	Fuego 14
Tuk Tulum	Tierra 307
Tuk Tulum	Tierra 211
Tuk Tulum	Fuego 001
Villa G	
Adora	402
Tuk Tulum	Agua 112
Casa Venado	-
Bakal 	208
Cacao	204A
Aldea Savia F2	G58
Adora	401
Kantuun 	T1 B2
Maria Tulum 	2
Maria tulum 	5
Maria tulum 	6
Maria tulum 	7
Palalma Tierra	9
Tao 	204
Adora	103
Casa Risueña 	-
Mama Blue	Dharma
Casa Boho 	-
Santal 	116
Santal	214
Chaac	14
The secret garden 	-
Luna Residence	106
Casa Risueña PB	-
Casa Risueña PA	-
Aflora	309
Condo Los amigos 3	-
Smart depas	A308
Smart Depas	C309
Bakal 	109
Bakal 	415 PH
Panoramic	PH6C
Smart Depas 	C310
Aldea tulum 	201
Aldea tulum 	203
Hacienda Tuuk Torre Yah	3
Adora	409
Mistiq Temple I	B202
Naia Tulum	C34
Naia Tulum 	A13
Heavens Lagoon	2
Rama 	111
Zen	3
Blue Luxury	101 B
Casa armonia 	-
Central Park Lagunas 	B115
Playazul	
Halaken	PB4
Zen 	S10
Zen 	pb1 
Edena by TAO	2
Paramar Viva	108
Chaac	222
Tuk Tulum	Fuego 110
Rosa de Plata	306
Aldea Savia F1	314
Muuk	310
Edificio Jabali	12
Edifcio Jabali 	14
Paramar Ve	101
Kasa Mate	
Miraluna	341
Cordelia	B3
Siddartha 	106
Solemn 	201
Surya	A2 
Kanta 	B2
Surya 	PH3
Heaven 	PH
Heaven	C
Heaven	E
Xintok	1002
Kuukum 	105
Aldea Savia F1	121
Miraluna	224
Atipika 	302
Zama Tower	302
Palalma Casa	4
Palalma Tierra	4
Beel 19	2
Gaia	308
Edena by TAO	8
Tzunum 	2
Agua de mar 	308
Casa Chemuyil 	-
Xiimbal 	7
Central Park 	E
Gardens by Coba	103
Xamira Fase 1	25
Waves	F305
Maria Tulum	-
NaiaTulum	C33
Quinto Sol	16
Tuk Tulum	Tierra 108
Gardens by coba 	310
Smart Depas 	D208
Aldea Tulum 	7
Brava Towers 	303
Palalma Tierra	5
Smart Depas 	B307
Chen	302
Chen	203
Edena by TAO	47
Edena by TAO	2
Lighthouse	-
Elementus 	d1
Luxury Apartment 	Crypto
Edena by TAO	54
Elementus 	b3
Elementus 	j3
Habitaciones	-
Restaurant 	-
Local comercial 	-
Hibisco 	204
Akua Tulum	18
Waves	sp103
Cordelia	B4
Downtown	29
Rosa de Piedra	3
Edena by Tao	51
Mistiq Gardens I	223
Ik Zama	14
Miraluna	241
Casa Malix	-
Local comercial 	
Loft Andador Kaan	2
Loft Andador Kaan	1
Zama Tower	207
Chen	101
Chen	301
Areia 	F2 6
Piedra de mar	4
Hostal Tzunum	
Paramar Viva	211
Oasis Yaaxlum	401
Adora	107
Aldea Tulum	304
Waves	F314
Waves	C313
Aldea Savia	211
Edena by Tao	57
Town Center	103
Kayum	203 sin muebles
Allegranza	67
Panoramic	PH4A
Aldea Savia	C23
Anah Village	B2
Casa Ana	-
Artia	103
Tuk Tulum	Fuego 203
Tuk Tulum	Tierra 310
Mistiq Temple II	C304
Quinto Sol	17
Paramar VE	102
Casa Jaguares	-
Alma 	B2
Alma 	C6
Alma 	1
Edena by Tao	112
DK Tulum	124
Akua Tulum	13
Aldea Savia	C21
Palalma Tierra	11
Sky Tulum	K102
Xamira Fase 1	14
Distrito La Selva	5
AAK	D3
Lool Village	
Edena by Tao	48
Cacao	A302
Seremonia Selva	515
Casa en La Veleta	-
Luz Tulum	F101
Seremonia Selva	404
Adora	111
Coco Village	B1
Selva Maya	B1
Selva Maya	
Selva Maya	
Downtown	6
Katia	210
Edena by Tao	43 sin muebles
Homes	301
Mistiq Gardens I	23
Mistiq Gardens I	24
Coco Village	C3
Casa Chehchen	Town House
Cacao 	C202
Paramar Viva	11
Rio de Plata	Casa 1
Seremonia Origen	310
Macondo	101 serv incl
Xperience Residences	5
Jungle Chic	306
Aldea Savia	206
Majaro	
Aldea Savia F2	G56
Aflora	211
Aldea Savia F1	DR14
Tierra Blanca	202
Sands Tulum	6
Sands Tulum	1
Sands Tulum	3
Sands Tulum	4
Sands Tulum	5
Coco Village	A1
Coco Village	A3
Coco Village	C2
Aldea Savia	R25
Muuk	307
Tierra Blanca	302
Chen Luum	102
Waves	A108
Ahal 1	A103
Smart Depas	A109
Smart Depas	A304
Smart Depas	B107
Smart Depas	B210
Brava Towers 	407
Mistiq Temple I	A302
Aldea Savia F1	 R49
Miraluna	221
Menesse	127
Luz Tulum	D302
Mistiq Tulum	E104
Mistiq Temple I	C205
Amira District	B302
Almendro	38
Sky Tulum	2
Edificio Jabali	PH Sin muebles
Zena Liza	A
Casitas	Casita 1
Casitas	Casita 2
Mistiq Temple I	E302
Keystone 	
Coco Village	D2
Cacao	C302
Art House	8-201
Palalma Tierra	14
Vida Tulum	2
Vida Tulum	8
Aguasanta	1
Casa Toh (Surenna)	-
Mun Townhouse	8
Aldea Tulum Plus	T52
Querido Tulum	103
Casa Natura	201
Rosa de Plata	F101
Condos Ocho	B6
Miel y Almendras	3
Mistiq Gardens I	213
Central Park Lagunas	E101
Sukha	308
Xunik	B102
Xunik	T1 #105
Xunik	B103
Mama Blue	La Vie Boheme
Menesse	306
Mistiq Gardens I	302
Mistiq Gardens I	307
Cacao	D201
Smart Depas	A105
Smart Depas	A106
Smart Depas	B104
Smart Depas	B206
Smart Depas	C203
Smart Depas	C205
Smart Depas	D104
Mistiq Gardens I	104
Brava Towers 	410
Mistiq Tulum	A201
Mistiq Tulum	H201
Mistiq Tulum	H204
Mistiq Tulum	H104
Mistiq Gardens I	105
Mistiq Gardens I	117
Mistiq Gardens I	211
Mistiq Gardens I	212
Mistiq Gardens I	214
Mistiq Gardens I	221
Mistiq Gardens I	305
Mistiq Temple I	B208
Mistiq Temple II	B202
Mistiq Temple I	B207
Mistiq Temple II	B201
Mistiq Temple II	B110
Mistiq Temple II	B111
Kaatal Oox	5
Casa Libelula	-
Samsara	F226
Panoramic	PH 3C
Casa Natura	204
Mistiq Tulum	B303
Mistiq Tulum	F103
Mistiq Temple I	C301
Mistiq Temple I	C305
Mistiq Temple II	A114
Mistiq Temple II	B112
Mistiq Temple II	B208
Mistiq Temple II	B304
Mistiq Temple II	B305
Mistiq Temple II	B403
Brava Towers 	412
Mirak	
Mistiq Temple II	B404
Mistiq Temple II	C208
Mistiq Temple II	C209
Mistiq Temple II	C303
Mistiq Villas	29
Mistiq Villas	28
Mistiq Villas	25
Mistiq Villas	26
Sukha	301
Kayum	102
Mistiq Villas	20
Residencial	
Magnolias	B2
Casa Blanca	-
Palalma Tierra	38
Casa Melón	-
Oceano	8
Oceano	6
Baay	8
Kiimak Tulum	3
Casa Jaax	
Mayapax	F
Kamil Ha	201
Piaf	1
DK Tulum	232
Tierra Santa	204
Luz Tulum	B301
Mistiq Temple I	B109
Mistiq Villas	15 (sin muebles)
Palalma Tierra	15
Paam Cheel	202
Hotel Kassia	
Aldea Tulum	201
Casa Privada	-
Condos Ocho	B5
Mistiq Gardens II	15
Erena	510
Erena	305
Edena by Tao	88
Paramar Black	14
Ophelia 	105
Chaac	215
Mistiq Tulum	A204
Mistiq Gardens I	124
Yakuntik	Copal #101
Yakuntik	Ceiba Pentandra #106
Yakuntik	Copal #201
Yakuntik	Balche #202
Yakuntik	Chit #301
Zizal	103
Zizal	202
Zizal	203
Zizal	205
Zizal	302
Zizal	303
Zizal	305
Casa Giselle	-
Casa Aneli	-
Mistiq Tulum	A301
Adora	204
Palalma Tierra	8
Palalma Casa	7
Coco Village	C1
Villa Tao	
Mistiq Temple ll	B212
Cacao	E101
Areia 	F3 #7
Edena by Tao	73 sin muebles
Tuk Vientos	207
Mistiq Gardens II	303
Mistiq Tulum	B201
Lik Zama 	202
Mistiq Temple I	A401
Adora	7
Aldea Tulum	Fer
Luxury Condo	#3
Edificio Zoe 	
Limas Tulum	111
Coco Village	B2
Xibalba	23
Adora	304
Adora	101
Mistiq Temple II	A401
Aldea Savia 	603E
Kune	207
Edena by Tao	60 (sin muebles)
Aldea Tulum	
Casa Camel	-
Condominio Baalam	-
Siete Gotas	
Amar Tulum	Muuka 
Cacao 	C104
Paraiso Chaak	
Tuane	802
Villa El Canto	
Etnica Ku	
Tao	123
Tuk Vientos	307
Bo's Home	
Calakmul	101
Maria Tulum	203
Naia Tulum	B11
Solemn 	401
Blue Luxury Kukulkan	01 C
Blue Luxury Kukulkan	PH E
Aldea Tulum Plus	T1 3B
Aldea Tulum	P-404
Macario Gomez	
Distrito La Selva	6
G. Sirenis ed. La selva	D302
Edena by Tao	46
Solemn 	105
Solemn 	102
Casa Purusha	-
Mistiq Temple I	B111
Mistiq Gardens I	7
Paam Cheel	104
Mistiq Villas	14
Anah Village	B15
Anah Village	B44
Casa Lagunas	-
(Palma Central)	2 unidades
Estela Tulum	(sin muebles)
Casa Chacah	-
Aldea Savia F2	 G64
AAK	L1
Boni Gardens	4
Condos Che 721	
Casa Kuk	-
Limas Tulum	313
Limas Tulum	402 (sin muebles)
Limas Tulum	901 (sin muebles)
Smart Depas	C208 sin muebles
Palalma casa	26
Koah 	7
Mistiq Gardens I	102
Aldea Tulum	casa Baax al
Riviera Tulum	
Asana Leaf 	Casa 1
Mistiq Tulum	D303
Mistiq Tulum	G301
Blue Luxury Kukulkan	PH A
Locales Plaza Hexa	
Casa Nirvana	-
Aldea Tulum	(sin muebles)
Palalma Tierra 	16
Condos Ocho 	C3
Mistiq Gardens ll	31
Casa Arekas	-
Miraluna	322
Zama Tower	304
Paraiso Chaak 	10
Naia Naay	H305
Anah suites	A14
Estela Tulum	
Estela Tulum	D203
Mistiq Temple II	B210
Zama Tower	B109
Estela Tulum	D101 (sin muebles)
Estela Tulum	B302 (sin muebles)
Erena	107 (sin muebles)
Erena	301 (sin muebles)
Muuk	112
Omara	210
Tulix	12
Villa Cielo Tulum	
Mistiq Temple I	-
Selva Norte	Balche 49
Limas Tulum	303
Mulatte	5
Casa Veleta	-
Zama Village	Casa Elisa
Estudio en renta	
Casa Yaax	-
Amar Tulum	301
Acinte	A8
Noil Villas	2D
Noil Residences	PP8
Casa Selva	-
Casa Rosi	-
Casa privada en la veleta	-
Ophelia 	317
Bungalows village	218
Bungalows village	225
Xunik	 T3 #102
Xunik	T4 #304
Casa Coral	-
Town Center	T6 #101
Noil Villas	2C (sin muebles)
Maria Tulum	113
ALDEA TULUM PLUS	T48 2A
Edena by Tao	111
Tulix	24
Neo +	3
Yakuntik	Kerpis #305
Yakuntik	Zapote #210
Amar Tulum	LUNA 402
Copal	301
Erena	512
Ophelia 	310
Origen Jungle	1D
Origen Jungle	2D
Origen Jungle	3D
Adora	102
Katia Residence	213
Xibalba	216
Baay	1
Baay	2
Balba	1
Angelique	304
VILLAS TULUM	
Casa Paradise	-
Zizal	102 (serv incl)
Zizal	106
Cacao 	D202
Tuane	302
Tuane	401
Coati	201
Loch Condo	401
Ahal 1	102
Tuk Viento	107
Humana	F101
Muuk	301
Homes	106
Homes	205
Xiimbal	212
Mistiq Tulum	D301
Reverence	103
Reverence	102
Casa Chehchen	casa rolis
Casa Chehchen	casa laura
Casa Chehchen	estudio sky
Mistiq Temple ll	A112
Casa Amor	-
Aldea Savia F2	523
Mistiq Gardens I	11
Mulatte	
Edificio Baay	
Ahal 2	T4 402
Boni Gardens	L3
Itza 1	102
Limas Tulum	302 (sin muebles)
Mistiq Tulum	D201
Mistiq Tulum	F202
Anah Village	B41
Amar Tulum	401
Kiimak	4
Kiimak	1
Santamar by tao	A307
Anah Suites	C307
Mistiq Tulum	C304
Naj Tulum	2B
Naj Tulum	1B
Aldea Tulum	B2 - 101
Mistiq Tulum	D302
Mistiq Tulum	C301
Mistiq Tulum	J303
Mistiq Tulum 	B204
Mistiq Tulum	F201
Aldea Tulum	Mz 8 Lt1 #50
Mistiq Villas	28
Asana Leaf 	4
Mistiq Temple II	A402
Xibalba	111
Parque Zama	T4 D202
Xunik	T3 #304
Naia Naay	E302
Jabali	13
Angelique	302
Limas Tulum	312
Angelique	101
Jade	30
Xamira	36
Amelia	107
Aldea Tulum Plus 	T49 4A
Bakal	413
Mistiq Tulum	G101
Villa Guacamaya	
Casa Chehchen	casa #1
Mistiq Gardens I	209
Mistiq Gardens I	210
Mistiq Gardens I	222
Yakuntik	Ceiba insignis #102
Artia	106
Asana 	1
Edena by Tao	61
Carmela	304
Maria Tulum	313
Miraluna	133
Sanctuary Residence	201
Locales parques Zama	T3 #2
Locales parques Zama	T3 #4
Locales parques Zama	T4 #2
Locales parques Zama	T4 #1
Locales parques Zama	T3 #1
Locales parques Zama	T4 #4
Locales parques Zama	T2 #4
Nequén	208
Ophelia 	K4
Casa Imox	01B
Casa Imox	202B
Casa Imox	02A
Azara	201
Azara	202
Azara 	301
Mareas Condo	3A
Mareas Condo	2B
Acinte by Endémico	#B1
Edena by Tao	10
Boni Gardens	201
Mistiq Villas	16
Aldea Tulum Plus	T24 3B
Recinto	1
Edena by tao	86
Xiimbal	29
Mistiq Temple II	#A212
Mistiq Temple II	#A205
Mistiq Temple I	#A303
Mistiq Temple II	C402
Nayal	5
Atia	5
Parque Zama	T5 202
Tuk tulum	Fuego 111
Mulatte	6B
Buena Vida	13
Bonita Love and Explore	1
Limas Tulum	401
Villaggio Montorso	#2
Mistiq Temple ll	A101
Paramar Viva	134
Jade	6
Atman Residences	117
Atman Residences	118
Aldea Tulum F2 	201
Mistiq Temple I	B306
Naia Tulum	B13
Mistiq Gardens I	18
Ahal 3	1
Tuk tulum	Agua 102 (falta enlistar)
Tuk Tulum	Fuego 17
Aru Tulum	102
Aru Tulum	103
Atman Residences	131
Paramar Viva	103
Casa Tepy	-
Mistiq Tulum	H303
Azara	308
Blue Luxury	102E
Aru Tulum	308
Casa 4 Recamaras	CA
Mistiq Tulum	A302
Mistiq Tulum	B101
Azara	203
Amira District	B204
Mistiq Temple ll	A301,B203,B207,B208,B211,B301,B302,B304,B305,B403,C201,C202,C203,C207,C208,C209,C301,C302
Mistiq Villas 	2
Loch Condo	104
Loch Condo	223
Gardens by coba	PH01
Gardens by coba	204
Gardens by coba	205
Zambo - Luum zama	101
Jungle paradise	213
Canopia	110
AAK	l1
Che Condo	1
Siwa	D1-105
Mistiq Temple I	C104
Edificio BAHA	6 depas
Satori	301 PH
Maia	107
Local Anemona	101
Casa Riviera Tulum (sin muebles)	-
Adora	206
Azara	302
Azara	307
Coba II	PH22
Local comercial 	
Parque Zama	D301 (sin muebles)
Parque Zama	D306 (sin muebles)
Paramar Viva	18
Casa Noni	-
Tuk Tulum	Agua 103
Palalma Tierra	34
Amar Tulum	Alma 103
Naab	B301
Mistiq Temple I	C111
Anah Suites	A7
Entorno Tulum	Villa 5
Entorno Tulum	Villa 6
Sirenis	103
Entorno Tulum	Villa 10
Mistiq Temple I	A114
Mistiq Tulum	H301
Tejon	E103
Villa Tumben Kaa	
Mistiq Tulum	G104
Villas Kuxtal	
Bonita Love And Explore	2
Loft Mayapax	
Bonita Love And Explore	8
Phimai	8
Casa Fran	-
Casa Flip	-
Downtown 	40
Muuk	103
Central Park Lagunas	A112
Yaxiik	32
Kanta 	2
Ceiba 	102
solum	307b
Mistiq gardens I	125
Mistiq gardens I	119
Mistiq gardens I	5
Mistiq gardens l 	28
Phimai	7B
mistiq gardens I	32
Mistiq Temple I	B105
Mistiq Temple I	C108
Mistiq Temple ll	A102
Mistiq Temple ll	A109
Mistiq Temple ll	C102
Mistiq Temple I	A206
Mistiq Temple I	C114
Mistiq Tulum	G202
Town Center	T7 #308 (semiamob)
Green Oasis	-
Town Center	T4 #205
Tulix	casa #25
Tulix	Casa #7 sin muebles
Tulix	Casa #8
Amar Tulum	202
Casa Arroqueño	-
Casa Alia	-
Villa Niburu	-
Local Anemona	#1
Local Anemona	#2
Xalet Luxury	A402
Cacao 	B205
Naia Naay	H205
Mistiq Villas	7
Mistiq Temple ll	A206
Mistiq Gardens I	103
Edena by tao	116
Edena by tao	58
Elle Residences	203
Mistiq Gardens I	9
Mun Tulum	33
Mistiq Gardens I	16
Xiimbal	35 (sin muebles)
Botanic	311
Aldea Savia F1	R23
Nativa Tulum	#2304
Anah Suites	A4
Blue Luxury kukulkan	102 F
Blue Luxury kukulkan	201 F
Tuk Tulum	Agua 113
Zona Nove	Casa Pitahaya
Mistiq Gardens ll 	1
Mistiq Gardens ll 	11
Mistiq Gardens ll 	13
Xunik	T1 #101(sin muebles)
Xunik 	T1 #301(sin muebles)
Xunik	T3 #201(sin muebles)
Xunik	T3 #305(sin muebles)
Xunik	T5 #102(sin muebles)
Xunik 	T4 #203(sin muebles)
Xunik 	T4 #303(sin muebles)
Sky Tulum	S-003
Azara	#306
Casa Santiago	#1 (3 disponibles)
Brava Towers 	308
Town Center	T1 #104
Mistiq Tulum 	E102
Mistiq Tulum	G204
Nadet	#31
Nadet	#33
Nadet	#34
Nadet	#35
Tao	119
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
